id,neighborhood,room_type,price,rating,review_text
266,Darlinghurst,Shared room,654.22,3.8,Extremely clean and modern apartment with high-speed wifi.
267,Parramatta,Shared room,377.27,3.9,Luxury villa with a pool and ocean views. Incredible experience.
268,Surry Hills,Private room,112.77,4.9,"Basic room, clean but tiny. The host was very friendly."
269,Newtown,Private room,665.84,4.6,"Very noisy and bustling, great for nightlife but hard to sleep."
270,Manly,Private room,575.82,4.1,"Quiet and peaceful, the perfect romantic getaway."
271,Bondi,Shared room,294.47,2.7,A bit outdated but very affordable and cozy.
272,Darlinghurst,Shared room,410.86,4.0,A bit outdated but very affordable and cozy.
273,Surry Hills,Shared room,162.71,2.5,Luxury villa with a pool and ocean views. Incredible experience.
274,Surry Hills,Entire home/apt,384.2,2.6,"Very noisy and bustling, great for nightlife but hard to sleep."
275,Bondi,Entire home/apt,137.18,4.7,A bit outdated but very affordable and cozy.
276,Parramatta,Shared room,479.99,5.0,Extremely clean and modern apartment with high-speed wifi.
277,Surry Hills,Shared room,587.44,4.5,Extremely clean and modern apartment with high-speed wifi.
278,Surry Hills,Entire home/apt,754.48,5.0,A bit outdated but very affordable and cozy.
279,Manly,Private room,248.43,3.0,Luxury villa with a pool and ocean views. Incredible experience.
280,Darlinghurst,Shared room,546.41,4.9,"Terrible experience, the place was dirty and loud."
281,Surry Hills,Entire home/apt,249.13,3.3,Luxury villa with a pool and ocean views. Incredible experience.
282,Darlinghurst,Private room,464.55,3.5,"Terrible experience, the place was dirty and loud."
283,Surry Hills,Entire home/apt,265.12,2.8,Extremely clean and modern apartment with high-speed wifi.
284,Darlinghurst,Private room,674.37,4.9,"A lovely, quiet neighborhood perfect for families. Close to the beach."
285,Manly,Shared room,204.25,4.3,A bit outdated but very affordable and cozy.
286,Manly,Shared room,381.05,3.9,"Terrible experience, the place was dirty and loud."
287,Surry Hills,Private room,553.05,3.5,"A lovely, quiet neighborhood perfect for families. Close to the beach."
288,Newtown,Entire home/apt,702.95,4.6,"Terrible experience, the place was dirty and loud."
289,Manly,Entire home/apt,792.57,4.6,A bit outdated but very affordable and cozy.
290,Bondi,Entire home/apt,312.13,3.0,"Very noisy and bustling, great for nightlife but hard to sleep."
291,Darlinghurst,Private room,255.23,3.1,A bit outdated but very affordable and cozy.
292,Newtown,Shared room,229.38,3.7,Luxury villa with a pool and ocean views. Incredible experience.
293,Darlinghurst,Private room,651.21,2.9,"Very noisy and bustling, great for nightlife but hard to sleep."
294,Surry Hills,Private room,386.89,4.8,A bit outdated but very affordable and cozy.
295,Surry Hills,Shared room,277.89,3.5,"Basic room, clean but tiny. The host was very friendly."
296,Darlinghurst,Entire home/apt,420.1,4.0,"Basic room, clean but tiny. The host was very friendly."
297,Darlinghurst,Shared room,458.87,3.6,"A lovely, quiet neighborhood perfect for families. Close to the beach."
298,Surry Hills,Shared room,109.45,2.7,A bit outdated but very affordable and cozy.
299,Manly,Shared room,222.89,4.8,A bit outdated but very affordable and cozy.
300,Darlinghurst,Shared room,662.25,2.8,"Terrible experience, the place was dirty and loud."
301,Surry Hills,Shared room,579.8,3.7,"Very noisy and bustling, great for nightlife but hard to sleep."
302,Manly,Private room,130.16,3.4,Luxury villa with a pool and ocean views. Incredible experience.
303,Manly,Entire home/apt,300.36,3.0,A bit outdated but very affordable and cozy.
304,Parramatta,Private room,54.63,4.1,A bit outdated but very affordable and cozy.
305,Parramatta,Shared room,579.82,3.2,Luxury villa with a pool and ocean views. Incredible experience.
306,Bondi,Shared room,95.61,2.6,"Basic room, clean but tiny. The host was very friendly."
307,Surry Hills,Shared room,285.06,5.0,"A lovely, quiet neighborhood perfect for families. Close to the beach."
308,Newtown,Private room,494.56,4.7,Luxury villa with a pool and ocean views. Incredible experience.
309,Parramatta,Entire home/apt,91.93,3.7,Extremely clean and modern apartment with high-speed wifi.
310,Parramatta,Entire home/apt,120.01,4.6,"A lovely, quiet neighborhood perfect for families. Close to the beach."
311,Bondi,Entire home/apt,407.33,3.3,Extremely clean and modern apartment with high-speed wifi.
312,Surry Hills,Entire home/apt,796.11,3.4,Extremely clean and modern apartment with high-speed wifi.
313,Surry Hills,Entire home/apt,142.42,3.6,"Very noisy and bustling, great for nightlife but hard to sleep."
314,Newtown,Private room,635.2,4.2,"Quiet and peaceful, the perfect romantic getaway."
315,Surry Hills,Private room,730.01,5.0,Extremely clean and modern apartment with high-speed wifi.
